quantity,product_code,choice_code,product_name,order_id
1,10000059,"◆１:R08 ひとくちサーモン30g
◆２:R20 牛タン皮チップ30g
◆３:R20 牛タン皮チップ30g
◆４（※レトルトはこちら◇からお選びください）:R20 牛タン皮チップ30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",レギュラーチョイス4◆北海道産 無添加 国産 犬 猫  おやつ オヤツ ジャーキー シニア ドッグフード ペット 好き エゾ鹿  鹿肉 鮭 サーモン ささみ チキン 馬肉 カンガルー クッキー 硬い ギフト プレゼント 馬 豚 耳,627
1,10000059,"◆１:R08 ひとくちサーモン30g
◆２:R20 牛タン皮チップ30g
◆３:R20 牛タン皮チップ30g
◆４（※レトルトはこちら◇からお選びください）:R20 牛タン皮チップ30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",レギュラーチョイス4◆北海道産 無添加 国産 犬 猫  おやつ オヤツ ジャーキー シニア ドッグフード ペット 好き エゾ鹿  鹿肉 鮭 サーモン ささみ チキン 馬肉 カンガルー クッキー 硬い ギフト プレゼント 馬 豚 耳,627
1,10000059,"◆１:R08 ひとくちサーモン30g
◆２:R20 牛タン皮チップ30g
◆３:R20 牛タン皮チップ30g
◆４（※レトルトはこちら◇からお選びください）:R20 牛タン皮チップ30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",レギュラーチョイス4◆北海道産 無添加 国産 犬 猫  おやつ オヤツ ジャーキー シニア ドッグフード ペット 好き エゾ鹿  鹿肉 鮭 サーモン ささみ チキン 馬肉 カンガルー クッキー 硬い ギフト プレゼント 馬 豚 耳,627
1,10000006,,ひとくちサーモン 30g◆北海道産 犬 おやつ 無添加 国産 犬猫のおやつシズカ sizuka エゾマルシェ ドッグフード ペット 好き 手作り 鮭 ジャーキー 鮭 ノーズワーク 知育玩具,598
1,10000006,,ひとくちサーモン 30g◆北海道産 犬 おやつ 無添加 国産 犬猫のおやつシズカ sizuka エゾマルシェ ドッグフード ペット 好き 手作り 鮭 ジャーキー 鮭 ノーズワーク 知育玩具,598
1,10000006,,ひとくちサーモン 30g◆北海道産 犬 おやつ 無添加 国産 犬猫のおやつシズカ sizuka エゾマルシェ ドッグフード ペット 好き 手作り 鮭 ジャーキー 鮭 ノーズワーク 知育玩具,598
1,10000059,"◆１:R10 鮭白子スライス30g
◆２:R15 豚レバースライス30g
◆３:R01 エゾ鹿スライス30g
◆４（※レトルトはこちら◇からお選びください）:R03 ころころエゾ鹿ミンチ30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",レギュラーチョイス4◆北海道産 無添加 国産 犬 猫  おやつ オヤツ ジャーキー シニア ドッグフード ペット 好き エゾ鹿  鹿肉 鮭 サーモン ささみ チキン 馬肉 カンガルー クッキー 硬い ギフト プレゼント 馬 豚 耳,599
1,10000059,"◆１:R10 鮭白子スライス30g
◆２:R15 豚レバースライス30g
◆３:R01 エゾ鹿スライス30g
◆４（※レトルトはこちら◇からお選びください）:R03 ころころエゾ鹿ミンチ30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",レギュラーチョイス4◆北海道産 無添加 国産 犬 猫  おやつ オヤツ ジャーキー シニア ドッグフード ペット 好き エゾ鹿  鹿肉 鮭 サーモン ささみ チキン 馬肉 カンガルー クッキー 硬い ギフト プレゼント 馬 豚 耳,599
1,10000059,"◆１:R10 鮭白子スライス30g
◆２:R15 豚レバースライス30g
◆３:R01 エゾ鹿スライス30g
◆４（※レトルトはこちら◇からお選びください）:R03 ころころエゾ鹿ミンチ30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",レギュラーチョイス4◆北海道産 無添加 国産 犬 猫  おやつ オヤツ ジャーキー シニア ドッグフード ペット 好き エゾ鹿  鹿肉 鮭 サーモン ささみ チキン 馬肉 カンガルー クッキー 硬い ギフト プレゼント 馬 豚 耳,599
1,10000058,"1つ目:C01.エゾ鹿スライス(10g)
2つ目:C07.ひとくちサーモン(10g)
3つ目:C10.鶏ささみスライス（10g）
4つ目:C22.ほっけカットジャーキー(15g）
★メール便のため同梱不可です:了承済",ちび袋チョイス４◆北海道産 犬 おやつ 無添加 国産 犬猫のおやつシズカ sizuka エゾマルシェ ドッグフード ペット 好き 手作り エゾ鹿　鮭 ささみ 硬い 鹿肉 キャット ドッグフード ペット 猫 詰め合わせ プチ ギフト,600
1,10000058,"1つ目:C01.エゾ鹿スライス(10g)
2つ目:C07.ひとくちサーモン(10g)
3つ目:C10.鶏ささみスライス（10g）
4つ目:C22.ほっけカットジャーキー(15g）
★メール便のため同梱不可です:了承済",ちび袋チョイス４◆北海道産 犬 おやつ 無添加 国産 犬猫のおやつシズカ sizuka エゾマルシェ ドッグフード ペット 好き 手作り エゾ鹿　鮭 ささみ 硬い 鹿肉 キャット ドッグフード ペット 猫 詰め合わせ プチ ギフト,600
